modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,traveledDistance,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
2.6,2025-08-27T00:00:00.000000000+02:00,15C CLEAN TTS 1000M,-237913.51938614,975.25647349392,411988.51467219,0.065974287688732,3.1925702095032,0.0007079194765538,975.25646972656,87.867462158203,83.808418314048,316.32286376953,301.71030593057,-14.032190322876,12.969334602356,1.0486607551575,0.49950367212296,-0.0024022103752941,0.26110932611278,218.7144054125,0.56611692905426,-158.08535766602,-158.08535766602,94.652870178223,94.970710754395,0,0,0,0,0,0,0,
2.8,2025-08-27T00:00:00.200000000+02:00,15C CLEAN TTS 1000M,-237930.93133013,972.48377502707,411987.61049201,0.088415615260601,3.1916768550873,4.0808139601722e-05,972.51104736328,88.688446044922,84.60286882248,319.27840576172,304.57032776093,-13.627243995667,13.904530525208,1.2969943284988,0.61104428768158,-0.0037631753366441,0.26354063616258,236.36890037139,0.566037774086,-132.13026428223,-132.13026428223,95.566497802734,95.85277557373,0,0,0,0,0,0,0,
3,2025-08-27T00:00:00.400000000+02:00,15C CLEAN TTS 1000M,-237948.53650599,969.83159582795,411986.69817981,0.097807981073856,3.1907148361206,-0.0013053934089839,969.88336181641,89.57787322998,85.462327940299,322.48034362793,307.66438058507,-12.939191818237,13.909400939941,1.2544918060303,0.6597473025322,-0.0048682931810617,0.26617545669752,254.19608705765,0.56682920455933,-103.7349319458,-103.7349319458,96.366661071777,96.618186950684,0,0,0,0,0,0,0,
3.2,2025-08-27T00:00:00.600000000+02:00,15C CLEAN TTS 1000M,-237966.3532368,967.30507106812,411985.7780766,0.099942736327648,3.1898782253265,-0.0032760347239673,967.30505371094,90.610580444336,86.458524432709,326.19808959961,311.25068795775,-12.340607643127,13.554507255554,1.2381670475006,0.72122830152512,-0.0052348971366882,0.26923609231553,272.21457240108,0.56582349538803,-73.108139038086,-73.108139038086,97.050682067871,97.266235351562,0,0,0,0,0,0,0,
3.4,2025-08-27T00:00:00.800000000+02:00,15C CLEAN TTS 1000M,-237984.40401392,964.89736258682,411984.8503136,0.098668992519379,3.1892950534821,-0.005525513086468,964.92083740234,91.742698669434,87.548992839018,330.27371520996,315.17637422046,-11.744563102722,13.009222984314,1.2243596315384,0.78391587734222,-0.0049044545739889,0.27259245736159,290.4488357215,0.5656852722168,-40.4775390625,-40.4775390625,97.620796203613,97.800735473633,0,0,0,0,0,0,0,
3.6,2025-08-27T00:00:01.000000000+02:00,15C CLEAN TTS 1000M,-238002.714391,962.60452158492,411983.91471838,0.093178942799568,3.1889834403992,-0.0078707411885262,962.64935302734,93.010559082031,88.768780361098,334.83801269531,319.56760929995,-11.209697723389,12.262125968933,1.1787416934967,0.83598744869232,-0.0040035201236606,0.27635237545852,308.92591252333,0.56641346216202,-6.0801119804382,-6.0801119804382,98.082992553711,98.228866577148,0,0,0,0,0,0,0,
3.8,2025-08-27T00:00:01.200000000+02:00,15C CLEAN TTS 1000M,-238021.30922733,960.40959741834,411982.9708079,0.083744309842587,3.1889667510986,-0.01009688526392,960.40960693359,94.45768737793,90.159813943922,340.04767456055,324.57533019812,-10.764552116394,11.343193054199,1.1215192079544,0.88023298978806,-0.002653053496033,0.28064480935917,327.67362164201,0.56534159183502,29.846172332764,29.846172332764,98.445861816406,98.560119628906,0,0,0,0,0,0,0,
4,2025-08-27T00:00:01.400000000+02:00,15C CLEAN TTS 1000M,-238040.21159607,958.28747652105,411982.01768753,0.071797020733356,3.1892287731171,-0.011825879104435,958.30841064453,95.991455078125,91.6332300532,345.56923828125,329.87962819152,-10.479619026184,10.382304191589,1.0459252595901,0.91394048929214,-0.00092215131735429,0.28519486666052,346.71860469249,0.56513541936874,67.069259643555,67.069259643555,98.719772338867,98.80542755127,0,0,0,0,0,0,0,
4.2,2025-08-27T00:00:01.600000000+02:00,15C CLEAN TTS 1000M,-238059.44210037,956.20609532311,411981.05403491,0.058760084211826,3.1896994113922,-0.0129534015432,956.24755859375,97.638557434082,93.214958121126,351.4988067627,335.57384923605,-10.359354019165,9.4577550888062,0.96739166975021,0.93956470489502,0.00093461334472522,0.29008159141544,366.08540798732,0.56579518318176,105.36854553223,105.36854553223,98.916038513184,98.976455688477,0,0,0,0,0,0,0,
4.4,2025-08-27T00:00:01.800000000+02:00,15C CLEAN TTS 1000M,-238079.01828278,954.13217837286,411980.07819807,0.046188753098249,3.1902906894684,-0.013394083827734,954.13220214844,99.434425354004,94.939297725725,357.96393127441,341.78147181261,-10.398021697998,8.6488990783691,0.9044086933136,0.96110790967941,0.0027548994403332,0.29540983405039,385.7953117645,0.56465548276901,144.53904724121,144.53904724121,99.046249389648,99.084976196289,0,0,0,0,0,0,0,
