modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,traveledDistance,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
1.2,2025-08-27T00:00:01.200000000+02:00,0C CLEAN TTS 1000M,-237687.54063084,998.29940097578,412006.32443886,0,3.3937182426453,-0,998.30059814453,83.333854675293,79.394473436693,300.00187683105,285.82010437209,-0.29429998993874,0.20234490931034,-0.001020408119075,0,0,0.24770319247563,0,0.56990522146225,-273.14999389648,-273.14999389648,85,85,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,0C CLEAN TTS 1000M,-237703.67442181,998.02917157024,412002.16826077,0.0048106615431607,3.3937022686005,1.2538657756522e-06,998.04254150391,83.306259155273,79.369180834439,299.90253295898,285.72905100398,-2.2246429920197,1.8058611154556,0.13988834619522,-0.026312315836549,-4.1018149204319e-05,0.24762042689185,0,0.56634747982025,-273.11959838867,-273.11959838867,85.020217895508,85.021522521973,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,0C CLEAN TTS 1000M,-237719.79837491,997.41659930342,411998.01464593,0.006687908899039,3.3936312198639,-5.9403409977676e-06,997.42425537109,83.319892883301,79.384575072564,299.95161437988,285.78447026123,-3.8163270950317,3.0084435939789,0.22584219276905,-0.016716429963708,-0.0001917032932397,0.24765918084405,16.661621307972,0.56723403930664,-272.86560058594,-272.86560058594,85.100212097168,85.104141235352,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,0C CLEAN TTS 1000M,-237735.91614801,996.50239354117,411993.86270214,0.0034843371249735,3.393580198288,-4.7326928324765e-05,996.5234375,83.377319335938,79.44279651492,300.15834960938,285.99406745371,-5.2635502815247,3.8190863132477,0.27840799093246,-0.0033541254233569,-0.00026343599893153,0.24782729240431,33.330665046308,0.56634277105331,-272.03570556641,-272.03570556641,85.286659240723,85.299850463867,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,0C CLEAN TTS 1000M,-237752.0330997,995.30619240905,411989.71107403,-0.0021792754996568,3.3935921192169,-0.00011931003973586,995.34588623047,83.486015319824,79.55096028043,300.54965515137,286.38345700955,-6.6152520179749,4.419894695282,0.3176706135273,0.015123485587537,-0.00018617761088535,0.24814696719316,50.016678498388,0.56633979082108,-270.19967651367,-270.19967651367,85.620895385742,85.655380249023,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,0C CLEAN TTS 1000M,-237768.1570265,993.84316499861,411985.55772512,-0.0088614951819181,3.3936860561371,-0.00019478556350805,993.85906982422,83.661964416504,79.724415896237,301.18307189941,287.00789722645,-7.9415230751038,4.9392147064209,0.35547140240669,0.04017511382699,4.3501626350917e-05,0.24866566610519,66.731096574978,0.5672242641449,-266.91162109375,-266.91162109375,86.129600524902,86.201110839844,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,0C CLEAN TTS 1000M,-237784.2985099,992.12845885458,411981.39984306,-0.015375188551843,3.3938484191895,-0.00022512924624607,992.16510009766,83.905647277832,79.963283774176,302.0603302002,287.86782158703,-9.1585283279419,5.3855404853821,0.37999168038368,0.07086730748415,0.00039735739119351,0.24938505529595,83.487459153304,0.56632924079895,-261.75433349609,-261.75433349609,86.825927734375,86.944473266602,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,0C CLEAN TTS 1000M,-237800.47030248,990.17158489599,411977.23400221,-0.019527897238731,3.3940539360046,-0.00016949530981947,990.23352050781,84.231712341309,80.28163641951,303.23416442871,289.01389111023,-10.321347236633,5.9195690155029,0.44282713532448,0.11228144913912,0.00077995011815801,0.25034860793301,100.30145513653,0.56631934642792,-254.36834716797,-254.36834716797,87.679580688477,87.831886291504,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,0C CLEAN TTS 1000M,-237816.6881598,987.98730750174,411973.05597299,-0.019994961097836,3.3942584991455,1.1011597962352e-05,988.01025390625,84.661109924316,80.699710147122,304.77999572754,290.51895652964,-11.469095230103,6.6402077674866,0.45444872975349,0.15460233390331,0.0010905982926488,0.25161837965801,117.19067927447,0.56719297170639,-244.46978759766,-244.46978759766,88.626014709473,88.798927307129,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,0C CLEAN TTS 1000M,-237832.9699535,985.59400386301,411968.86099214,-0.014073747210205,3.3943753242493,0.0003094089042861,985.64373779297,85.172149658203,81.196251405317,306.61973876953,292.30650505914,-12.436134338379,7.589515209198,0.51328361034393,0.2078148573637,0.0011543524451554,0.25313028598319,134.17368762788,0.5662824511528,-231.85801696777,-231.85801696777,89.610328674316,89.792976379395,0,0,0,0,0,0,0,
